umpires,nationality,first_officiated,last_officiated,no._of_matches
Rod Tucker, Australia,2011,2019,46
Simon Taufel, Australia,2009,2013,55
Paul Reiffel, Australia,2011,2020,24
Bruce Oxenford, Australia,2012,2019,48
Daryl Harper, Australia,2008,2010,28
Simon Fry, Australia,2015,2015,6
Steve Davis, Australia,2008,2008,7
Nigel Llong, England,2013,2019,37
Richard Illingworth, England,2014,2020,32
Ian Gould, England,2019,2019,6
Mark Benson, England,2008,2009,13
Tony Hill, New Zealand,2011,2011,6
Chris Gaffaney, New Zealand,2015,2020,47
Billy Bowden, New Zealand,2009,2014,38
Gary Baxter, New Zealand,2009,2009,7
Asad Rauf, Pakistan,2008,2013,51
Aleem Dar, Pakistan,2008,2014,38
Rudi Koertzen, South Africa,2008,2011,42
Brian Jerling, South Africa,2008,2010,18
Ian Howell, South Africa,2008,2009,14
Marais Erasmus, South Africa,2009,2019,66
Johan Cloete, South Africa,2012,2015,17
Tyron Wijewardene, Sri Lanka,2009,2009,6
Kumar Dharmasena, Sri Lanka,2009,2018,94
Billy Doctrove, West Indies,2008,2012,44
Russell Tiffin, Zimbabwe,2008,2011,30
